algorithm,k,m,seed,elapsed_ms
alg1,2,3,8483,34.21
alg1,2,3,8951,5.9
alg1,2,3,3451,5.04
alg1,2,6,8483,6.62
alg1,2,6,8951,6.61
alg1,2,6,3451,6.18
alg1,2,12,8483,8.06
alg1,2,12,8951,8.2
alg1,2,12,3451,7.62
alg1,2,24,8483,15.69
alg1,2,24,8951,10.3
alg1,2,24,3451,37.81
alg1,2,10000,8483,7613.11
alg1,2,10000,8951,6690.67
alg1,2,10000,3451,6766.52
alg2,2,3,8483,5.96
alg2,2,3,8951,4.3
alg2,2,3,3451,4.67
alg2,2,6,8483,5.39
alg2,2,6,8951,5.46
alg2,2,6,3451,5.66
alg2,2,12,8483,8.07
alg2,2,12,8951,7.16
alg2,2,12,3451,6.73
alg2,2,24,8483,12.33
alg2,2,24,8951,10.05
alg2,2,24,3451,9.81
alg2,2,10000,8483,6696.55
alg2,2,10000,8951,6629.12
alg2,2,10000,3451,6716.31
alg2,4,3,8483,4.9
alg2,4,3,8951,4.52
alg2,4,3,3451,4.47
alg2,4,6,8483,4.87
alg2,4,6,8951,5.28
alg2,4,6,3451,4.98
alg2,4,12,8483,6.15
alg2,4,12,8951,7.59
alg2,4,12,3451,8.93
alg2,4,24,8483,13.5
alg2,4,24,8951,10.92
alg2,4,24,3451,10.52
alg2,4,10000,8483,6743.34
alg2,4,10000,8951,6763.02
alg2,4,10000,3451,6752.27
alg2,8,3,8483,5.47
alg2,8,3,8951,5.22
alg2,8,3,3451,4.38
alg2,8,6,8483,5.03
alg2,8,6,8951,5.72
alg2,8,6,3451,5.03
alg2,8,12,8483,7.08
alg2,8,12,8951,8.95
alg2,8,12,3451,7.9
alg2,8,24,8483,10.51
alg2,8,24,8951,9.22
alg2,8,24,3451,10.18
alg2,8,10000,8483,6714.94
alg2,8,10000,8951,6756.83
alg2,8,10000,3451,6681.64
alg2,1000,3,8483,7.51
alg2,1000,3,8951,7.75
alg2,1000,3,3451,6.39
alg2,1000,6,8483,9.84
alg2,1000,6,8951,11.13
alg2,1000,6,3451,9.71
alg2,1000,12,8483,14.12
alg2,1000,12,8951,13.55
alg2,1000,12,3451,16.73
alg2,1000,24,8483,23.43
alg2,1000,24,8951,21.58
alg2,1000,24,3451,24.66
alg2,1000,10000,8483,12380.31
alg2,1000,10000,8951,11871.6
alg2,1000,10000,3451,11820.76
alg1_cpp,2,3,8483,147.03
alg1_cpp,2,3,8951,4.37
alg1_cpp,2,3,3451,4.55
alg1_cpp,2,6,8483,4.99
alg1_cpp,2,6,8951,6.17
alg1_cpp,2,6,3451,5.37
alg1_cpp,2,12,8483,7.58
alg1_cpp,2,12,8951,6.94
alg1_cpp,2,12,3451,6.41
alg1_cpp,2,24,8483,11.41
alg1_cpp,2,24,8951,11.07
alg1_cpp,2,24,3451,9.75
alg1_cpp,2,10000,8483,6613.39
alg1_cpp,2,10000,8951,6577.39
alg1_cpp,2,10000,3451,6598.87
alg2_cpp,2,3,8483,4.96
alg2_cpp,2,3,8951,4.0
alg2_cpp,2,3,3451,5.42
alg2_cpp,2,6,8483,5.46
alg2_cpp,2,6,8951,4.96
alg2_cpp,2,6,3451,5.1
alg2_cpp,2,12,8483,8.36
alg2_cpp,2,12,8951,6.36
alg2_cpp,2,12,3451,6.2
alg2_cpp,2,24,8483,10.12
alg2_cpp,2,24,8951,11.27
alg2_cpp,2,24,3451,10.95
alg2_cpp,2,10000,8483,6549.68
alg2_cpp,2,10000,8951,6460.99
alg2_cpp,2,10000,3451,6444.26
alg2_cpp,4,3,8483,5.21
alg2_cpp,4,3,8951,6.11
alg2_cpp,4,3,3451,4.42
alg2_cpp,4,6,8483,5.29
alg2_cpp,4,6,8951,5.5
alg2_cpp,4,6,3451,5.71
alg2_cpp,4,12,8483,6.34
alg2_cpp,4,12,8951,6.68
alg2_cpp,4,12,3451,5.74
alg2_cpp,4,24,8483,9.44
alg2_cpp,4,24,8951,8.72
alg2_cpp,4,24,3451,8.82
alg2_cpp,4,10000,8483,6481.94
alg2_cpp,4,10000,8951,6538.7
alg2_cpp,4,10000,3451,6391.73
alg2_cpp,8,3,8483,5.39
alg2_cpp,8,3,8951,4.56
alg2_cpp,8,3,3451,4.63
alg2_cpp,8,6,8483,5.54
alg2_cpp,8,6,8951,4.59
alg2_cpp,8,6,3451,4.97
alg2_cpp,8,12,8483,7.63
alg2_cpp,8,12,8951,8.12
alg2_cpp,8,12,3451,7.89
alg2_cpp,8,24,8483,10.31
alg2_cpp,8,24,8951,9.5
alg2_cpp,8,24,3451,9.91
alg2_cpp,8,10000,8483,6546.08
alg2_cpp,8,10000,8951,6611.53
alg2_cpp,8,10000,3451,6518.09
alg2_cpp,1000,3,8483,9.53
alg2_cpp,1000,3,8951,6.93
alg2_cpp,1000,3,3451,6.87
alg2_cpp,1000,6,8483,9.32
alg2_cpp,1000,6,8951,8.54
alg2_cpp,1000,6,3451,10.12
alg2_cpp,1000,12,8483,12.48
alg2_cpp,1000,12,8951,11.79
alg2_cpp,1000,12,3451,12.82
alg2_cpp,1000,24,8483,21.31
alg2_cpp,1000,24,8951,18.51
alg2_cpp,1000,24,3451,22.37
alg2_cpp,1000,10000,8483,11895.39
alg2_cpp,1000,10000,8951,11541.5
alg2_cpp,1000,10000,3451,11511.77
