algorithm,k,m,seed,elapsed_ms
alg1,2,3,2458,9.55
alg1,2,3,4580,5.16
alg1,2,3,9585,5.06
alg1,2,6,2458,5.46
alg1,2,6,4580,5.64
alg1,2,6,9585,5.68
alg1,2,12,2458,11.29
alg1,2,12,4580,10.26
alg1,2,12,9585,8.63
alg1,2,24,2458,10.87
alg1,2,24,4580,9.92
alg1,2,24,9585,43.01
alg1,2,10000,2458,6941.06
alg1,2,10000,4580,6770.55
alg1,2,10000,9585,6813.5
alg2,2,3,2458,6.01
alg2,2,3,4580,5.83
alg2,2,3,9585,5.1
alg2,2,6,2458,5.94
alg2,2,6,4580,5.4
alg2,2,6,9585,5.36
alg2,2,12,2458,6.61
alg2,2,12,4580,6.86
alg2,2,12,9585,6.24
alg2,2,24,2458,9.31
alg2,2,24,4580,9.25
alg2,2,24,9585,8.62
alg2,2,10000,2458,6915.72
alg2,2,10000,4580,6697.75
alg2,2,10000,9585,6614.79
alg2,4,3,2458,5.68
alg2,4,3,4580,5.58
alg2,4,3,9585,5.44
alg2,4,6,2458,5.04
alg2,4,6,4580,5.17
alg2,4,6,9585,9.08
alg2,4,12,2458,6.66
alg2,4,12,4580,6.85
alg2,4,12,9585,6.61
alg2,4,24,2458,9.37
alg2,4,24,4580,8.62
alg2,4,24,9585,9.75
alg2,4,10000,2458,6655.39
alg2,4,10000,4580,6673.13
alg2,4,10000,9585,6665.49
alg2,8,3,2458,5.23
alg2,8,3,4580,5.0
alg2,8,3,9585,4.63
alg2,8,6,2458,5.13
alg2,8,6,4580,5.59
alg2,8,6,9585,5.96
alg2,8,12,2458,8.09
alg2,8,12,4580,7.61
alg2,8,12,9585,9.76
alg2,8,24,2458,13.2
alg2,8,24,4580,12.95
alg2,8,24,9585,11.77
alg2,8,10000,2458,6718.5
alg2,8,10000,4580,6851.59
alg2,8,10000,9585,6684.2
alg1_cpp,2,3,2458,136.12
alg1_cpp,2,3,4580,6.03
alg1_cpp,2,3,9585,6.14
alg1_cpp,2,6,2458,6.91
alg1_cpp,2,6,4580,6.12
alg1_cpp,2,6,9585,5.6
alg1_cpp,2,12,2458,8.15
alg1_cpp,2,12,4580,7.82
alg1_cpp,2,12,9585,6.7
alg1_cpp,2,24,2458,9.77
alg1_cpp,2,24,4580,10.39
alg1_cpp,2,24,9585,11.62
alg1_cpp,2,10000,2458,7037.87
alg1_cpp,2,10000,4580,6901.53
alg1_cpp,2,10000,9585,6682.64
alg2_cpp,2,3,2458,5.81
alg2_cpp,2,3,4580,4.58
alg2_cpp,2,3,9585,4.51
alg2_cpp,2,6,2458,4.99
alg2_cpp,2,6,4580,5.2
alg2_cpp,2,6,9585,5.06
alg2_cpp,2,12,2458,6.45
alg2_cpp,2,12,4580,7.58
alg2_cpp,2,12,9585,8.55
alg2_cpp,2,24,2458,10.24
alg2_cpp,2,24,4580,8.58
alg2_cpp,2,24,9585,9.8
alg2_cpp,2,10000,2458,6674.67
alg2_cpp,2,10000,4580,6548.18
alg2_cpp,2,10000,9585,6505.01
alg2_cpp,4,3,2458,6.71
alg2_cpp,4,3,4580,5.47
alg2_cpp,4,3,9585,4.91
alg2_cpp,4,6,2458,4.74
alg2_cpp,4,6,4580,5.03
alg2_cpp,4,6,9585,9.77
alg2_cpp,4,12,2458,6.23
alg2_cpp,4,12,4580,6.26
alg2_cpp,4,12,9585,6.13
alg2_cpp,4,24,2458,11.08
alg2_cpp,4,24,4580,13.25
alg2_cpp,4,24,9585,10.52
alg2_cpp,4,10000,2458,6731.18
alg2_cpp,4,10000,4580,6867.48
alg2_cpp,4,10000,9585,6582.63
alg2_cpp,8,3,2458,4.47
alg2_cpp,8,3,4580,4.25
alg2_cpp,8,3,9585,4.2
alg2_cpp,8,6,2458,4.51
alg2_cpp,8,6,4580,6.5
alg2_cpp,8,6,9585,6.67
alg2_cpp,8,12,2458,6.14
alg2_cpp,8,12,4580,6.78
alg2_cpp,8,12,9585,6.25
alg2_cpp,8,24,2458,10.41
alg2_cpp,8,24,4580,12.14
alg2_cpp,8,24,9585,10.73
alg2_cpp,8,10000,2458,6803.28
alg2_cpp,8,10000,4580,6758.15
alg2_cpp,8,10000,9585,6657.05
