algorithm,k,m,seed,elapsed_ms
alg1,2,3,8219,10.43
alg1,2,3,8855,4.8
alg1,2,3,7178,4.73
alg1,2,6,8219,5.46
alg1,2,6,8855,6.2
alg1,2,6,7178,6.12
alg1,2,12,8219,7.67
alg1,2,12,8855,6.71
alg1,2,12,7178,6.89
alg1,2,24,8219,10.64
alg1,2,24,8855,9.25
alg1,2,24,7178,36.16
alg1,2,10000,8219,6528.05
alg1,2,10000,8855,6454.35
alg1,2,10000,7178,6431.69
alg2,2,3,8219,5.6
alg2,2,3,8855,4.29
alg2,2,3,7178,4.71
alg2,2,6,8219,5.91
alg2,2,6,8855,6.45
alg2,2,6,7178,5.03
alg2,2,12,8219,7.38
alg2,2,12,8855,9.07
alg2,2,12,7178,7.99
alg2,2,24,8219,10.32
alg2,2,24,8855,12.28
alg2,2,24,7178,11.5
alg2,2,10000,8219,6335.31
alg2,2,10000,8855,6419.68
alg2,2,10000,7178,6356.4
alg2,4,3,8219,5.07
alg2,4,3,8855,4.9
alg2,4,3,7178,4.12
alg2,4,6,8219,5.16
alg2,4,6,8855,5.36
alg2,4,6,7178,7.67
alg2,4,12,8219,7.17
alg2,4,12,8855,6.31
alg2,4,12,7178,6.16
alg2,4,24,8219,9.5
alg2,4,24,8855,10.56
alg2,4,24,7178,9.71
alg2,4,10000,8219,6344.15
alg2,4,10000,8855,6254.84
alg2,4,10000,7178,6371.77
alg2,8,3,8219,5.66
alg2,8,3,8855,4.77
alg2,8,3,7178,4.37
alg2,8,6,8219,5.81
alg2,8,6,8855,6.17
alg2,8,6,7178,5.36
alg2,8,12,8219,7.58
alg2,8,12,8855,6.28
alg2,8,12,7178,6.21
alg2,8,24,8219,10.79
alg2,8,24,8855,10.73
alg2,8,24,7178,9.46
alg2,8,10000,8219,6350.2
alg2,8,10000,8855,6417.39
alg2,8,10000,7178,6328.93
alg1_cpp,2,3,8219,113.91
alg1_cpp,2,3,8855,7.69
alg1_cpp,2,3,7178,4.86
alg1_cpp,2,6,8219,4.72
alg1_cpp,2,6,8855,6.09
alg1_cpp,2,6,7178,7.59
alg1_cpp,2,12,8219,8.17
alg1_cpp,2,12,8855,6.55
alg1_cpp,2,12,7178,7.33
alg1_cpp,2,24,8219,10.1
alg1_cpp,2,24,8855,9.04
alg1_cpp,2,24,7178,9.68
alg1_cpp,2,10000,8219,6450.61
alg1_cpp,2,10000,8855,6259.25
alg1_cpp,2,10000,7178,6296.55
alg2_cpp,2,3,8219,10.91
alg2_cpp,2,3,8855,4.3
alg2_cpp,2,3,7178,4.15
alg2_cpp,2,6,8219,5.92
alg2_cpp,2,6,8855,5.92
alg2_cpp,2,6,7178,6.2
alg2_cpp,2,12,8219,6.4
alg2_cpp,2,12,8855,6.41
alg2_cpp,2,12,7178,6.39
alg2_cpp,2,24,8219,13.54
alg2_cpp,2,24,8855,11.96
alg2_cpp,2,24,7178,8.79
alg2_cpp,2,10000,8219,6381.43
alg2_cpp,2,10000,8855,6160.34
alg2_cpp,2,10000,7178,6517.34
alg2_cpp,4,3,8219,5.72
alg2_cpp,4,3,8855,5.23
alg2_cpp,4,3,7178,3.94
alg2_cpp,4,6,8219,4.49
alg2_cpp,4,6,8855,5.33
alg2_cpp,4,6,7178,5.46
alg2_cpp,4,12,8219,6.45
alg2_cpp,4,12,8855,6.45
alg2_cpp,4,12,7178,7.49
alg2_cpp,4,24,8219,10.57
alg2_cpp,4,24,8855,11.61
alg2_cpp,4,24,7178,9.68
alg2_cpp,4,10000,8219,6442.79
alg2_cpp,4,10000,8855,6343.16
alg2_cpp,4,10000,7178,6415.73
alg2_cpp,8,3,8219,6.3
alg2_cpp,8,3,8855,6.24
alg2_cpp,8,3,7178,4.51
alg2_cpp,8,6,8219,4.49
alg2_cpp,8,6,8855,5.08
alg2_cpp,8,6,7178,4.72
alg2_cpp,8,12,8219,6.95
alg2_cpp,8,12,8855,6.02
alg2_cpp,8,12,7178,6.96
alg2_cpp,8,24,8219,10.09
alg2_cpp,8,24,8855,8.93
alg2_cpp,8,24,7178,9.48
alg2_cpp,8,10000,8219,6442.91
alg2_cpp,8,10000,8855,6510.06
alg2_cpp,8,10000,7178,6388.05
