algorithm,k,m,seed,elapsed_ms
alg1,2,3,6304,10.3
alg1,2,3,2615,5.73
alg1,2,3,5273,4.88
alg1,2,6,6304,6.74
alg1,2,6,2615,5.55
alg1,2,6,5273,5.79
alg1,2,12,6304,7.31
alg1,2,12,2615,9.04
alg1,2,12,5273,8.07
alg1,2,24,6304,10.8
alg1,2,24,2615,9.5
alg1,2,24,5273,42.25
alg1,2,10000,6304,6816.3
alg1,2,10000,2615,6716.67
alg1,2,10000,5273,6712.14
alg2,2,3,6304,5.72
alg2,2,3,2615,5.13
alg2,2,3,5273,7.43
alg2,2,6,6304,7.87
alg2,2,6,2615,6.81
alg2,2,6,5273,6.56
alg2,2,12,6304,7.85
alg2,2,12,2615,7.1
alg2,2,12,5273,7.68
alg2,2,24,6304,9.32
alg2,2,24,2615,11.9
alg2,2,24,5273,13.52
alg2,2,10000,6304,6676.31
alg2,2,10000,2615,6647.04
alg2,2,10000,5273,6681.56
alg2,4,3,6304,6.63
alg2,4,3,2615,5.57
alg2,4,3,5273,5.19
alg2,4,6,6304,7.28
alg2,4,6,2615,5.3
alg2,4,6,5273,6.54
alg2,4,12,6304,7.37
alg2,4,12,2615,7.71
alg2,4,12,5273,6.95
alg2,4,24,6304,12.65
alg2,4,24,2615,10.81
alg2,4,24,5273,11.52
alg2,4,10000,6304,6686.61
alg2,4,10000,2615,6682.62
alg2,4,10000,5273,6698.44
alg2,8,3,6304,6.86
alg2,8,3,2615,4.87
alg2,8,3,5273,5.08
alg2,8,6,6304,5.5
alg2,8,6,2615,5.69
alg2,8,6,5273,5.88
alg2,8,12,6304,8.96
alg2,8,12,2615,8.69
alg2,8,12,5273,6.65
alg2,8,24,6304,9.62
alg2,8,24,2615,11.67
alg2,8,24,5273,11.01
alg2,8,10000,6304,6687.14
alg2,8,10000,2615,6625.58
alg2,8,10000,5273,6646.33
alg2,10000,3,6304,362.84
alg2,10000,3,2615,29.45
alg2,10000,3,5273,37.21
alg2,10000,6,6304,84.91
alg2,10000,6,2615,45.24
alg2,10000,6,5273,46.35
alg2,10000,12,6304,112.58
alg2,10000,12,2615,77.15
alg2,10000,12,5273,75.73
alg2,10000,24,6304,184.63
alg2,10000,24,2615,129.59
alg2,10000,24,5273,137.84
