algorithm,k,m,seed,elapsed_ms
alg1,2,3,6090,8.39
alg1,2,3,1510,7.88
alg1,2,3,3388,5.98
alg1,2,6,6090,6.36
alg1,2,6,1510,6.27
alg1,2,6,3388,5.81
alg1,2,12,6090,8.3
alg1,2,12,1510,7.61
alg1,2,12,3388,7.8
alg1,2,24,6090,10.31
alg1,2,24,1510,10.34
alg1,2,24,3388,40.44
alg1,2,10000,6090,6828.49
alg1,2,10000,1510,6675.26
alg1,2,10000,3388,6677.95
alg2,2,3,6090,5.47
alg2,2,3,1510,5.11
alg2,2,3,3388,4.22
alg2,2,6,6090,5.82
alg2,2,6,1510,5.76
alg2,2,6,3388,6.02
alg2,2,12,6090,8.41
alg2,2,12,1510,7.89
alg2,2,12,3388,6.89
alg2,2,24,6090,9.9
alg2,2,24,1510,9.89
alg2,2,24,3388,9.92
alg2,2,10000,6090,6630.35
alg2,2,10000,1510,6632.91
alg2,2,10000,3388,6624.08
alg2,8,3,6090,6.54
alg2,8,3,1510,5.16
alg2,8,3,3388,6.11
alg2,8,6,6090,6.13
alg2,8,6,1510,7.2
alg2,8,6,3388,5.33
alg2,8,12,6090,7.91
alg2,8,12,1510,8.32
alg2,8,12,3388,7.96
alg2,8,24,6090,9.77
alg2,8,24,1510,10.2
alg2,8,24,3388,12.84
alg2,8,10000,6090,6669.88
alg2,8,10000,1510,6658.22
alg2,8,10000,3388,6680.81
alg2,1000,3,6090,24.37
alg2,1000,3,1510,21.1
alg2,1000,3,3388,7.35
alg2,1000,6,6090,8.91
alg2,1000,6,1510,9.44
alg2,1000,6,3388,9.69
alg2,1000,12,6090,12.92
alg2,1000,12,1510,13.11
alg2,1000,12,3388,13.12
alg2,1000,24,6090,28.88
alg2,1000,24,1510,24.07
alg2,1000,24,3388,24.84
alg2,1000,10000,6090,11669.29
alg2,1000,10000,1510,11834.16
alg2,1000,10000,3388,11828.59
alg1_cpp,2,3,6090,132.56
alg1_cpp,2,3,1510,6.59
alg1_cpp,2,3,3388,5.87
alg1_cpp,2,6,6090,5.78
alg1_cpp,2,6,1510,5.32
alg1_cpp,2,6,3388,6.31
alg1_cpp,2,12,6090,7.75
alg1_cpp,2,12,1510,7.03
alg1_cpp,2,12,3388,7.8
alg1_cpp,2,24,6090,10.34
alg1_cpp,2,24,1510,11.38
alg1_cpp,2,24,3388,11.23
alg1_cpp,2,10000,6090,6607.81
alg1_cpp,2,10000,1510,6698.42
alg1_cpp,2,10000,3388,6612.63
alg2_cpp,2,3,6090,9.01
alg2_cpp,2,3,1510,5.25
alg2_cpp,2,3,3388,4.01
alg2_cpp,2,6,6090,5.33
alg2_cpp,2,6,1510,4.84
alg2_cpp,2,6,3388,4.91
alg2_cpp,2,12,6090,6.57
alg2_cpp,2,12,1510,8.4
alg2_cpp,2,12,3388,10.97
alg2_cpp,2,24,6090,12.7
alg2_cpp,2,24,1510,10.07
alg2_cpp,2,24,3388,9.47
alg2_cpp,2,10000,6090,6607.33
alg2_cpp,2,10000,1510,6716.73
alg2_cpp,2,10000,3388,6641.69
alg2_cpp,8,3,6090,6.03
alg2_cpp,8,3,1510,5.93
alg2_cpp,8,3,3388,4.41
alg2_cpp,8,6,6090,5.09
alg2_cpp,8,6,1510,4.53
alg2_cpp,8,6,3388,4.91
alg2_cpp,8,12,6090,7.49
alg2_cpp,8,12,1510,6.5
alg2_cpp,8,12,3388,7.59
alg2_cpp,8,24,6090,10.18
alg2_cpp,8,24,1510,9.95
alg2_cpp,8,24,3388,9.93
alg2_cpp,8,10000,6090,6604.34
alg2_cpp,8,10000,1510,6578.5
alg2_cpp,8,10000,3388,6568.22
alg2_cpp,1000,3,6090,11.52
alg2_cpp,1000,3,1510,9.59
alg2_cpp,1000,3,3388,6.52
alg2_cpp,1000,6,6090,11.44
alg2_cpp,1000,6,1510,11.34
alg2_cpp,1000,6,3388,9.0
alg2_cpp,1000,12,6090,15.67
alg2_cpp,1000,12,1510,15.14
alg2_cpp,1000,12,3388,14.87
alg2_cpp,1000,24,6090,20.24
alg2_cpp,1000,24,1510,19.54
alg2_cpp,1000,24,3388,21.74
alg2_cpp,1000,10000,6090,11702.93
alg2_cpp,1000,10000,1510,11796.0
alg2_cpp,1000,10000,3388,11603.42
