algorithm,k,m,seed,elapsed_ms
alg1,2,3,5996,10.63
alg1,2,3,91,5.81
alg1,2,3,8134,4.88
alg1,2,6,5996,6.68
alg1,2,6,91,5.68
alg1,2,6,8134,5.77
alg1,2,12,5996,6.46
alg1,2,12,91,6.89
alg1,2,12,8134,7.82
alg1,2,24,5996,12.21
alg1,2,24,91,10.06
alg1,2,24,8134,38.65
alg1,2,10000,5996,6940.61
alg1,2,10000,91,6856.16
alg1,2,10000,8134,6802.43
alg2,2,3,5996,5.3
alg2,2,3,91,4.39
alg2,2,3,8134,4.1
alg2,2,6,5996,5.36
alg2,2,6,91,6.3
alg2,2,6,8134,6.92
alg2,2,12,5996,6.98
alg2,2,12,91,6.52
alg2,2,12,8134,6.92
alg2,2,24,5996,9.42
alg2,2,24,91,10.44
alg2,2,24,8134,11.82
alg2,2,10000,5996,6688.87
alg2,2,10000,91,6766.43
alg2,2,10000,8134,6668.13
alg2,8,3,5996,5.31
alg2,8,3,91,6.5
alg2,8,3,8134,4.64
alg2,8,6,5996,5.18
alg2,8,6,91,5.2
alg2,8,6,8134,5.58
alg2,8,12,5996,8.05
alg2,8,12,91,6.39
alg2,8,12,8134,7.31
alg2,8,24,5996,12.14
alg2,8,24,91,9.9
alg2,8,24,8134,12.36
alg2,8,10000,5996,6760.92
alg2,8,10000,91,6705.05
alg2,8,10000,8134,6671.94
alg2,1000,3,5996,8.77
alg2,1000,3,91,7.45
alg2,1000,3,8134,6.95
alg2,1000,6,5996,8.59
alg2,1000,6,91,8.76
alg2,1000,6,8134,8.83
alg2,1000,12,5996,11.92
alg2,1000,12,91,13.07
alg2,1000,12,8134,18.98
alg2,1000,24,5996,21.71
alg2,1000,24,91,20.82
alg2,1000,24,8134,21.01
alg2,1000,10000,5996,11801.13
alg2,1000,10000,91,11831.67
alg2,1000,10000,8134,11931.14
alg1_cpp,2,3,5996,134.6
alg1_cpp,2,3,91,6.47
alg1_cpp,2,3,8134,4.6
alg1_cpp,2,6,5996,5.08
alg1_cpp,2,6,91,5.91
alg1_cpp,2,6,8134,5.08
alg1_cpp,2,12,5996,6.65
alg1_cpp,2,12,91,6.33
alg1_cpp,2,12,8134,6.38
alg1_cpp,2,24,5996,11.85
alg1_cpp,2,24,91,11.62
alg1_cpp,2,24,8134,10.03
alg1_cpp,2,10000,5996,6706.92
alg1_cpp,2,10000,91,6778.78
alg1_cpp,2,10000,8134,6667.58
alg2_cpp,2,3,5996,6.41
alg2_cpp,2,3,91,5.44
alg2_cpp,2,3,8134,4.51
alg2_cpp,2,6,5996,6.03
alg2_cpp,2,6,91,6.44
alg2_cpp,2,6,8134,6.49
alg2_cpp,2,12,5996,7.2
alg2_cpp,2,12,91,6.69
alg2_cpp,2,12,8134,6.84
alg2_cpp,2,24,5996,10.51
alg2_cpp,2,24,91,11.2
alg2_cpp,2,24,8134,10.09
alg2_cpp,2,10000,5996,6729.75
alg2_cpp,2,10000,91,6740.95
alg2_cpp,2,10000,8134,6662.66
alg2_cpp,8,3,5996,5.67
alg2_cpp,8,3,91,5.99
alg2_cpp,8,3,8134,4.97
alg2_cpp,8,6,5996,6.25
alg2_cpp,8,6,91,5.72
alg2_cpp,8,6,8134,5.78
alg2_cpp,8,12,5996,6.73
alg2_cpp,8,12,91,6.95
alg2_cpp,8,12,8134,7.52
alg2_cpp,8,24,5996,11.39
alg2_cpp,8,24,91,12.23
alg2_cpp,8,24,8134,12.31
alg2_cpp,8,10000,5996,6927.87
alg2_cpp,8,10000,91,6847.9
alg2_cpp,8,10000,8134,6732.31
alg2_cpp,1000,3,5996,8.2
alg2_cpp,1000,3,91,7.23
alg2_cpp,1000,3,8134,6.37
alg2_cpp,1000,6,5996,9.51
alg2_cpp,1000,6,91,10.32
alg2_cpp,1000,6,8134,8.41
alg2_cpp,1000,12,5996,11.65
alg2_cpp,1000,12,91,12.76
alg2_cpp,1000,12,8134,13.86
alg2_cpp,1000,24,5996,21.03
alg2_cpp,1000,24,91,25.87
alg2_cpp,1000,24,8134,20.81
alg2_cpp,1000,10000,5996,12043.72
alg2_cpp,1000,10000,91,12100.66
alg2_cpp,1000,10000,8134,12081.69
