algorithm,k,m,seed,elapsed_ms
alg1,2,3,7975,8.8
alg1,2,3,828,5.52
alg1,2,3,8812,5.32
alg1,2,6,7975,5.89
alg1,2,6,828,6.1
alg1,2,6,8812,10.75
alg1,2,12,7975,10.46
alg1,2,12,828,9.0
alg1,2,12,8812,8.59
alg1,2,24,7975,13.84
alg1,2,24,828,13.76
alg1,2,24,8812,42.09
alg1,2,10000,7975,7331.14
alg1,2,10000,828,6817.58
alg1,2,10000,8812,6889.22
alg2,2,3,7975,5.47
alg2,2,3,828,4.97
alg2,2,3,8812,4.87
alg2,2,6,7975,5.33
alg2,2,6,828,6.73
alg2,2,6,8812,6.67
alg2,2,12,7975,8.08
alg2,2,12,828,8.4
alg2,2,12,8812,7.17
alg2,2,24,7975,10.88
alg2,2,24,828,10.42
alg2,2,24,8812,10.6
alg2,2,10000,7975,6699.36
alg2,2,10000,828,6787.48
alg2,2,10000,8812,6766.2
alg2,8,3,7975,5.56
alg2,8,3,828,4.24
alg2,8,3,8812,4.27
alg2,8,6,7975,4.95
alg2,8,6,828,6.13
alg2,8,6,8812,6.63
alg2,8,12,7975,7.03
alg2,8,12,828,6.91
alg2,8,12,8812,6.28
alg2,8,24,7975,9.44
alg2,8,24,828,10.04
alg2,8,24,8812,9.55
alg2,8,10000,7975,6720.04
alg2,8,10000,828,6957.69
alg2,8,10000,8812,6816.39
alg2,1000,3,7975,7.58
alg2,1000,3,828,8.43
alg2,1000,3,8812,7.38
alg2,1000,6,7975,8.61
alg2,1000,6,828,8.53
alg2,1000,6,8812,8.98
alg2,1000,12,7975,13.44
alg2,1000,12,828,19.74
alg2,1000,12,8812,16.36
alg2,1000,24,7975,24.03
alg2,1000,24,828,28.17
alg2,1000,24,8812,23.3
alg2,1000,10000,7975,12108.88
alg2,1000,10000,828,12543.07
alg2,1000,10000,8812,12374.01
alg1_cpp,2,3,7975,133.17
alg1_cpp,2,3,828,5.01
alg1_cpp,2,3,8812,4.19
alg1_cpp,2,6,7975,5.1
alg1_cpp,2,6,828,4.41
alg1_cpp,2,6,8812,5.08
alg1_cpp,2,12,7975,7.08
alg1_cpp,2,12,828,8.11
alg1_cpp,2,12,8812,7.19
alg1_cpp,2,24,7975,8.55
alg1_cpp,2,24,828,10.24
alg1_cpp,2,24,8812,9.81
alg1_cpp,2,10000,7975,6956.21
alg1_cpp,2,10000,828,6825.63
alg1_cpp,2,10000,8812,6967.19
alg2_cpp,2,3,7975,5.3
alg2_cpp,2,3,828,5.49
alg2_cpp,2,3,8812,5.1
alg2_cpp,2,6,7975,6.03
alg2_cpp,2,6,828,5.08
alg2_cpp,2,6,8812,5.82
alg2_cpp,2,12,7975,7.43
alg2_cpp,2,12,828,6.96
alg2_cpp,2,12,8812,6.9
alg2_cpp,2,24,7975,10.26
alg2_cpp,2,24,828,9.01
alg2_cpp,2,24,8812,10.52
alg2_cpp,2,10000,7975,6859.9
alg2_cpp,2,10000,828,6821.7
alg2_cpp,2,10000,8812,6769.59
alg2_cpp,8,3,7975,6.53
alg2_cpp,8,3,828,6.17
alg2_cpp,8,3,8812,5.6
alg2_cpp,8,6,7975,5.67
alg2_cpp,8,6,828,5.45
alg2_cpp,8,6,8812,5.42
alg2_cpp,8,12,7975,8.46
alg2_cpp,8,12,828,12.94
alg2_cpp,8,12,8812,8.15
alg2_cpp,8,24,7975,9.72
alg2_cpp,8,24,828,10.11
alg2_cpp,8,24,8812,11.12
alg2_cpp,8,10000,7975,7013.1
alg2_cpp,8,10000,828,6843.07
alg2_cpp,8,10000,8812,6985.96
alg2_cpp,1000,3,7975,6.77
alg2_cpp,1000,3,828,6.66
alg2_cpp,1000,3,8812,6.0
alg2_cpp,1000,6,7975,8.31
alg2_cpp,1000,6,828,10.18
alg2_cpp,1000,6,8812,12.17
alg2_cpp,1000,12,7975,13.64
alg2_cpp,1000,12,828,17.09
alg2_cpp,1000,12,8812,16.57
alg2_cpp,1000,24,7975,23.63
alg2_cpp,1000,24,828,23.78
alg2_cpp,1000,24,8812,24.41
alg2_cpp,1000,10000,7975,12249.21
alg2_cpp,1000,10000,828,11954.85
alg2_cpp,1000,10000,8812,12129.45
